vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
DDS,2010-01-27 09:46:02,2010-01-27 09:52:21,1,0.6999999999999998,-73.97493199999998,40.744417,1,,-73.99427699999998,40.724612,CAS,2.5,0.0,0.5,0.0,0.0,3.0
VTS,2010-01-26 16:16:00,2010-01-26 16:27:00,2,4.98,-74.010622,40.701932,1,,-73.976263,40.748378,CAS,13.3,1.0,0.5,0.0,0.0,14.8
VTS,2010-01-19 21:20:00,2010-01-19 21:43:00,1,7.2,-74.015752,40.704955,1,,-73.951913,40.718152,CAS,20.1,0.5,0.5,0.0,0.0,21.1
DDS,2010-01-21 14:25:46,2010-01-21 14:47:08,1,2.9,-73.956958,40.78617,1,,-73.99365299999998,40.735887,CAS,12.5,0.0,0.5,0.0,0.0,13.0
VTS,2010-01-29 12:30:00,2010-01-29 12:34:00,1,0.4299999999999999,-73.990538,40.751207,1,,-73.98534999999998,40.747585,CAS,3.7,0.0,0.5,0.0,0.0,4.2
DDS,2010-01-07 07:33:29,2010-01-07 07:52:06,1,3.9,-74.001078,40.731593,1,,-73.94712199999998,40.774158,CRE,12.9,0.0,-1.0,2.5,0.0,15.9
VTS,2010-01-20 16:15:00,2010-01-20 16:21:00,3,1.25,-73.99668,40.725862,1,,-74.008527,40.720195,CAS,5.7,1.0,0.5,0.0,0.0,7.2
VTS,2010-01-16 21:38:00,2010-01-16 21:38:00,1,0.07,-73.95170299999998,40.710898,1,,-73.95313799999998,40.710788,CAS,45.0,0.0,0.5,0.0,0.0,45.5
VTS,2010-01-20 15:30:00,2010-01-20 15:39:00,1,0.98,-73.989455,40.757208,1,,-73.980233,40.760753,Cre,6.1,0.0,0.5,2.0,0.0,8.599999999999998
VTS,2010-01-15 11:16:00,2010-01-15 11:37:00,1,3.24,-73.95789499999998,40.779435,1,,-73.99186299999998,40.74891,CAS,12.9,0.0,0.5,0.0,0.0,13.4
VTS,2010-01-04 17:49:00,2010-01-04 18:00:00,2,1.66,-73.94491499999998,40.778483,1,,-73.962877,40.772482,CAS,8.099999999999998,1.0,0.5,0.0,0.0,9.6
VTS,2010-01-29 18:58:00,2010-01-29 19:03:00,1,1.21,-73.941818,40.814515,1,,-73.94664299999998,40.800468,CAS,5.3,1.0,0.5,0.0,0.0,6.8
VTS,2010-01-06 08:10:00,2010-01-06 08:39:00,2,8.63,-73.952455,40.79834,1,,-74.00172499999998,40.715643,CAS,23.3,0.0,0.5,0.0,0.0,23.8
VTS,2010-01-09 18:03:00,2010-01-09 18:10:00,5,1.01,-73.99264499999998,40.737583,1,,-73.989427,40.747753,CAS,5.3,0.0,0.5,0.0,0.0,5.8
VTS,2010-01-09 12:21:00,2010-01-09 12:36:00,1,2.53,-73.9873,40.776283,1,,-73.98919999999998,40.748723,Cre,10.1,0.0,0.5,2.0,0.0,12.6
VTS,2010-01-06 08:35:00,2010-01-06 08:52:00,1,2.74,-73.955865,40.776157,1,,-73.98529499999998,40.759742,CAS,11.3,0.0,0.5,0.0,0.0,11.8
VTS,2010-01-16 03:42:00,2010-01-16 04:03:00,1,7.96,-73.97985799999998,40.72702,1,,-73.958595,40.809618,Cre,20.9,0.5,0.5,3.75,0.0,25.65
VTS,2010-01-09 13:43:00,2010-01-09 13:49:00,1,1.25,-73.981875,40.777818,1,,-73.972465,40.79375,CAS,5.7,0.0,0.5,0.0,0.0,6.2
VTS,2010-01-09 17:29:00,2010-01-09 17:32:00,2,0.6099999999999999,-73.98976,40.733453,1,,-73.99997299999998,40.737773,CAS,4.1,0.0,0.5,0.0,0.0,4.6
VTS,2010-01-06 14:46:00,2010-01-06 14:52:00,1,0.94,-73.981442,40.780548,1,,-73.98697799999998,40.771053,Cre,4.9,0.0,0.5,1.0,0.0,6.4
VTS,2010-01-16 18:45:00,2010-01-16 18:58:00,2,1.94,-73.968918,40.757163,1,,-73.99431199999998,40.754825,CAS,8.5,0.0,0.5,0.0,0.0,9.0
VTS,2010-01-10 14:35:00,2010-01-10 14:56:00,5,9.74,-73.862735,40.768988,1,,-73.992985,40.756267,Cre,22.9,0.0,0.5,4.58,4.57,32.55
VTS,2010-01-07 14:55:00,2010-01-07 15:02:00,1,0.8,-73.95601499999998,40.771883,1,,-73.96320799999998,40.762187,CAS,5.3,0.0,0.5,0.0,0.0,5.8
CMT,2010-01-21 07:42:06,2010-01-21 07:51:34,1,1.9,-73.995153,40.754983,1,0,-74.006522,40.731877,Cas,7.3,0.5,0.5,0.0,0.0,8.3
VTS,2010-01-31 03:31:00,2010-01-31 03:41:00,1,2.65,-73.98784999999998,40.721333,1,,-73.99427,40.746413,Cre,8.9,0.5,0.5,1.0,0.0,10.9
VTS,2010-01-31 12:50:00,2010-01-31 13:13:00,5,9.48,-73.873107,40.774153,1,,-73.989557,40.741095,CAS,23.7,0.0,0.5,0.0,4.57,28.77
VTS,2010-01-18 00:30:00,2010-01-18 00:44:00,5,1.7,-73.98177699999998,40.778858,1,,-73.966527,40.79734,CAS,9.7,0.5,0.5,0.0,0.0,10.7
VTS,2010-01-30 04:24:00,2010-01-30 04:37:00,1,1.36,-74.00792199999998,40.73883,1,,-73.991263,40.723425,CAS,8.5,0.5,0.5,0.0,0.0,9.5
VTS,2010-01-06 21:34:00,2010-01-06 21:44:00,1,2.38,-73.973195,40.764058,1,,-73.979348,40.737222,Cre,8.099999999999998,0.5,0.5,0.5,0.0,9.6
VTS,2010-01-31 14:42:00,2010-01-31 14:55:00,1,1.93,-73.991748,40.747,1,,-73.96689999999998,40.753442,Cre,8.5,0.0,0.5,3.0,0.0,12.0
CMT,2010-01-27 19:44:56,2010-01-27 19:52:32,1,1.5,-73.997226,40.733412,1,0,-73.99467199999998,40.750359,Cre,6.5,1.0,0.5,2.0,0.0,10.0
VTS,2010-01-16 16:22:00,2010-01-16 16:32:00,1,2.2,-73.973297,40.752842,1,,-73.952672,40.77986,Cre,8.099999999999998,0.0,0.5,1.6,0.0,10.2
VTS,2010-01-16 22:24:00,2010-01-16 22:31:00,1,1.38,-73.98308799999998,40.766497,1,,-73.970032,40.784232,CAS,6.5,0.5,0.5,0.0,0.0,7.5
VTS,2010-01-16 16:19:00,2010-01-16 16:22:00,5,0.87,-74.00259,40.739578,1,,-73.994715,40.750312,CAS,4.5,0.0,0.5,0.0,0.0,5.0
VTS,2010-01-18 11:54:00,2010-01-18 12:02:00,3,1.86,-73.965783,40.75435,1,,-73.985355,40.738493,CAS,7.3,0.0,0.5,0.0,0.0,7.8
VTS,2010-01-18 12:47:00,2010-01-18 12:52:00,1,0.7399999999999999,-73.994983,40.744833,1,,-73.99859499999998,40.74948,CAS,4.5,0.0,0.5,0.0,0.0,5.0
