ID,Year,Olympic_CC,GDP,Population
23066,2004,KUW,75528.22,2207939
23067,2005,KUW,83224.57,2276623
23068,2006,KUW,88328.02,2377258
23069,2007,KUW,91268.61,2503410
23070,2008,KUW,90011.78,2652340
23071,2009,KUW,79296.86,2818939
23072,2010,KUW,73682.87,2998083
23073,2011,KUW,77459.54,3191051
23074,2012,KUW,79047.76,3395556
23075,2013,KUW,76667.71,3598385
23076,2014,KUW,74617.69,3782450
23077,2015,KUW,72918,3935794
23078,2016,KUW,74264,4052584
23079,2017,KUW,71943.01,4136528
23080,1990,LAO,1103.96,4258472
23081,1991,LAO,1156.69,4380073
23082,1992,LAO,1214.91,4502363
23083,1993,LAO,1282.9,4623280
23084,1994,LAO,1382.1,4740380
23085,1995,LAO,1475.41,4851923
23086,1996,LAO,1572.33,4957180
23087,1997,LAO,1675.56,5056519
23088,1998,LAO,1728.72,5150763
23089,1999,LAO,1850.89,5241284
23090,2000,LAO,1969.7,5329304
23091,2001,LAO,2096.91,5414568
23092,2002,LAO,2221.19,5497273
23093,2003,LAO,2367.45,5579656
23094,2004,LAO,2548.4,5664605
23095,2005,LAO,2773.57,5754026
23096,2006,LAO,3054.58,5849356
23097,2007,LAO,3317.15,5949787
23098,2008,LAO,3585.17,6052190
23099,2009,LAO,3820.36,6152036
23100,2010,LAO,4133.44,6246274
23101,2011,LAO,4495.15,6333487
23102,2012,LAO,4882.42,6415169
23103,2013,LAO,5293.96,6494557
23104,2014,LAO,5727.01,6576397
23105,2015,LAO,6128.36,6663967
23106,2016,LAO,6549.67,6758353
23107,2017,LAO,7023.37,6858160
23108,1990,LAT,,2663151
23109,1991,LAT,,2650581
23110,1992,LAT,,2614338
23111,1993,LAT,,2563290
23112,1994,LAT,,2520742
23113,1995,LAT,5507.92,2485056
23114,1996,LAT,5795.21,2457222
23115,1997,LAT,6481.59,2432851
23116,1998,LAT,7070.92,2410019
23117,1999,LAT,7405.29,2390482
23118,2000,LAT,8018.05,2367550
23119,2001,LAT,9042.67,2337170
23120,2002,LAT,10070,2310173
23121,2003,LAT,11025.83,2287955
23122,2004,LAT,12218.73,2263122
23123,2005,LAT,13847.63,2238799
23124,2006,LAT,15754.62,2218357
23125,2007,LAT,18126.15,2200325
23126,2008,LAT,19432.22,2177322
23127,2009,LAT,16868.82,2141669
23128,2010,LAT,17575.73,2097555
23129,2011,LAT,19773.38,2059709
23130,2012,LAT,21252.72,2034319
23131,2013,LAT,22676.38,2012647
23132,2014,LAT,23808.01,1993782
23133,2015,LAT,24510.16,1977527
23134,2016,LAT,25586.29,1959537
23135,2017,LAT,27598.33,1940740
23136,1990,LBA,,4436661
23137,1991,LBA,,4544293
23138,1992,LBA,,4651004
23139,1993,LBA,,4755289
23140,1994,LBA,,4855003
23141,1995,LBA,,4948798
23142,1996,LBA,,5035884
23143,1997,LBA,,5117269
23144,1998,LBA,,5195502
23145,1999,LBA,16639.66,5274163
23146,2000,LBA,17375.65,5355751
23147,2001,LBA,17186.16,5440566
23148,2002,LBA,17010.81,5527515
23149,2003,LBA,19299.52,5615952
23150,2004,LBA,20392.48,5704759
23151,2005,LBA,23189.83,5792688
23152,2006,LBA,25071.94,5881435
23153,2007,LBA,26966.5,5970362
23154,2008,LBA,27843.13,6053078
23155,2009,LBA,27523.82,6121053
23156,2010,LBA,29030.84,6169140
23157,2011,LBA,11192.79,6193501
23158,2012,LBA,25416.08,6198258
23159,2013,LBA,22322.38,6195970
23160,2014,LBA,17246.83,6204108
23161,2015,LBA,15810.25,6234955
23162,2016,LBA,15420.17,6293253
23163,2017,LBA,19631.3,6374616
23164,1990,LBR,565.66,2097232
23165,1991,LBR,510.34,2060267
23166,1992,LBR,345.13,2022729
23167,1993,LBR,239.48,2000248
23168,1994,LBR,190.15,2012885
23169,1995,LBR,180.41,2073482
23170,1996,LBR,194.9,2191179
23171,1997,LBR,379.92,2358469
23172,1998,LBR,462.3,2551062
23173,1999,LBR,533.09,2734518
23174,2000,LBR,664.78,2884522
23175,2001,LBR,674.83,2991132
23176,2002,LBR,694.32,3062863
23177,2003,LBR,486.22,3116233
23178,2004,LBR,502.96,3176414
23179,2005,LBR,532.35,3261230
23180,2006,LBR,572.72,3375838
23181,2007,LBR,618.89,3512932
23182,2008,LBR,648.43,3662993
23183,2009,LBR,661.17,3811528
23184,2010,LBR,685.5,3948125
23185,2011,LBR,734.33,4070167
23186,2012,LBR,786.12,4181563
23187,2013,LBR,847.13,4286291
23188,2014,LBR,847.72,4390737
23189,2015,LBR,836.18,4499621
23190,2016,LBR,812.67,4613823
23191,2017,LBR,826.45,4731906
23192,1990,LCA,6354.1,138185
23193,1991,LCA,6510.67,140156
23194,1992,LCA,7087.66,141925
23195,1993,LCA,7217.14,143565
23196,1994,LCA,7413.64,145247
23197,1995,LCA,7602.14,147044
23198,1996,LCA,7864.01,149004
23199,1997,LCA,7846.41,151086
23200,1998,LCA,8315.82,153183
23201,1999,LCA,8561.53,155172
23202,2000,LCA,8660.7,156949
23203,2001,LCA,8482.46,158464
23204,2002,LCA,8571.66,159763
23205,2003,LCA,9052.21,160973
23206,2004,LCA,9896.79,162251
23207,2005,LCA,10087.25,163714
23208,2006,LCA,10931.05,165407
23209,2007,LCA,11205.12,167288
23210,2008,LCA,11933.11,169220
23211,2009,LCA,12037.43,171022
23212,2010,LCA,11878.59,172580
23213,2011,LCA,12112.4,173832
23214,2012,LCA,12287,174835
23215,2013,LCA,12848.64,175660
23216,2014,LCA,12994.75,176421
23217,2015,LCA,13334.28,177206
23218,2016,LCA,13665.32,178015
23219,2017,LCA,14219.24,178844
23220,1990,LES,891.55,1603938
23221,1991,LES,966.97,1634517
23222,1992,LES,1037.12,1667121
23223,1993,LES,1077.58,1700362
23224,1994,LES,1144.85,1732257
23225,1995,LES,1187.24,1761359
23226,1996,LES,1258.07,1787273
23227,1997,LES,1310,1810453
23228,1998,LES,1329.28,1831298
23229,1999,LES,1341.95,1850527
23230,2000,LES,1411.82,1868699
23231,2001,LES,1481.74,1885955
23232,2002,LES,1502.34,1902312
23233,2003,LES,1588.99,1918097
23234,2004,LES,1646.89,1933728
23235,2005,LES,1744.53,1949543
23236,2006,LES,1858.82,1965662
23237,2007,LES,1983.74,1982287
23238,2008,LES,2139.93,1999930
23239,2009,LES,2181.6,2019209
23240,2010,LES,2317.83,2040551
23241,2011,LES,2500.01,2064166
23242,2012,LES,2665.51,2089928
23243,2013,LES,2722.74,2117361
23244,2014,LES,2820.27,2145785
23245,2015,LES,2883.81,2174645
23246,2016,LES,2951.02,2203821
23247,2017,LES,3130.15,2233339
23248,1990,LIB,5078.71,2703016
23249,1991,LIB,7122.15,2752462
23250,1992,LIB,7425.08,2821862
23251,1993,LIB,7912.23,2900854
23252,1994,LIB,8510.83,2974640
23253,1995,LIB,9076.84,3033394
23254,1996,LIB,9598.41,3070960
23255,1997,LIB,9472.47,3092670
23256,1998,LIB,9851.49,3113951
23257,1999,LIB,9822.26,3156646
23258,2000,LIB,9933.08,3235366
23259,2001,LIB,10161.73,3359859
23260,2002,LIB,10176.45,3522837
23261,2003,LIB,10196.82,3701464
23262,2004,LIB,10632.04,3863267
23263,2005,LIB,10924.51,3986852
23264,2006,LIB,11236.71,4057350
23265,2007,LIB,12524.41,4086466
23266,2008,LIB,14023.26,4111047
23267,2009,LIB,15282.38,4183156
23268,2010,LIB,16118.96,4337141
23269,2011,LIB,15693.69,4588368
23270,2012,LIB,15334.65,4916404
23271,2013,LIB,14902.76,5276102
23272,2014,LIB,14570.53,5603279
23273,2015,LIB,14218.83,5851479
23274,2016,LIB,14308.75,6006668
23275,2017,LIB,14675.64,6082357
23276,1990,LIE,,28747
23277,1991,LIE,,29108
23278,1992,LIE,,29497
23279,1993,LIE,,29919
23280,1994,LIE,,30365
23281,1995,LIE,,30833
23282,1996,LIE,,31325
23283,1997,LIE,,31838
23284,1998,LIE,,32355
23285,1999,LIE,,32842
23286,2000,LIE,,33286
23287,2001,LIE,,33671
23288,2002,LIE,,34018
23289,2003,LIE,,34321
23290,2004,LIE,,34596
23291,2005,LIE,,34852
23292,2006,LIE,,35095
23293,2007,LIE,,35322
23294,2008,LIE,,35541
23295,2009,LIE,,35766
23296,2010,LIE,,36003
23297,2011,LIE,,36264
23298,2012,LIE,,36545
23299,2013,LIE,,36834
23300,2014,LIE,,37127
23301,2015,LIE,,37403
23302,2016,LIE,,37666
23303,2017,LIE,,37922
23304,1990,LTU,,3697838
23305,1991,LTU,,3704134
23306,1992,LTU,,3700114
23307,1993,LTU,,3682613
23308,1994,LTU,,3657144
23309,1995,LTU,5923.6,3629102
23310,1996,LTU,6377.99,3601613
23311,1997,LTU,7066.71,3575137
23312,1998,LTU,7756.67,3549331
23313,1999,LTU,7821.67,3524238
23314,2000,LTU,8456.32,3499536
23315,2001,LTU,9459.49,3470818
23316,2002,LTU,10494.35,3443067
23317,2003,LTU,12066.82,3415213
23318,2004,LTU,13036.09,3377075
23319,2005,LTU,14526.13,3322528
23320,2006,LTU,16486.7,3269909
23321,2007,LTU,19092.25,3231294
23322,2008,LTU,20744.07,3198231
23323,2009,LTU,18142.65,3162916
23324,2010,LTU,20110.34,3097282
23325,2011,LTU,22854.33,3028115
23326,2012,LTU,24658.01,2987773
23327,2013,LTU,26660.56,2957689
23328,2014,LTU,28174.36,2932367
23329,2015,LTU,28783.67,2904910
23330,2016,LTU,29862.32,2868231
23331,2017,LTU,32092.5,2827721
23332,1990,LUX,29680.29,381850
23333,1991,LUX,32875.81,387000
23334,1992,LUX,33785.32,392175
23335,1993,LUX,35561.55,397475
23336,1994,LUX,37196.02,402925
23337,1995,LUX,39632.96,408625
23338,1996,LUX,41334.75,414225
23339,1997,LUX,42826.4,419450
23340,1998,LUX,44360.28,424700
23341,1999,LUX,50627.93,430475
23342,2000,LUX,55340.1,436300
23343,2001,LUX,55941.38,441525
23344,2002,LUX,58771.51,446175
23345,2003,LUX,60035.2,451630
23346,2004,LUX,64074.51,458095
23347,2005,LUX,68220.06,465158
23348,2006,LUX,77961.47,472637
23349,2007,LUX,83967.26,479993
23350,2008,LUX,86693.9,488650
23351,2009,LUX,82263.44,497783
23352,2010,LUX,85697,506953
23353,2011,LUX,92005.02,518347
23354,2012,LUX,91622.18,530946
23355,2013,LUX,95590.54,543360
23356,2014,LUX,101640.05,556319
23357,2015,LUX,102517.14,569604
23358,2016,LUX,102389.44,582014
23359,2017,LUX,103744.76,599449
23360,1990,MAC,26089.46,343935
23361,1991,MAC,27168.07,353764
23362,1992,MAC,30727.78,362459
23363,1993,MAC,32385.7,370345
23364,1994,MAC,33786.93,377960
23365,1995,MAC,34914.53,385686
23366,1996,MAC,34694.18,393567
23367,1997,MAC,34488.62,401564
23368,1998,MAC,32597.52,409837
23369,1999,MAC,31638.98,418604
23370,2000,MAC,33469.13,427979
23371,2001,MAC,34408.44,438081
23372,2002,MAC,37145.41,448896
23373,2003,MAC,41266.82,460147
23374,2004,MAC,52457.4,471453
23375,2005,MAC,57162.54,482559
23376,2006,MAC,65307.09,493320
23377,2007,MAC,75131.98,503823
23378,2008,MAC,77584.71,514348
23379,2009,MAC,77553.28,525313
23380,2010,MAC,96198.2,536969
23381,2011,MAC,116752.21,549439
23382,2012,MAC,126863.22,562531
23383,2013,MAC,140037.06,575841
23384,2014,MAC,137742.79,588781
23385,2015,MAC,106959.88,600942
23386,2016,MAC,105420.35,612167
23387,2017,MAC,115123.08,622567
23388,1990,MAD,1068.49,11598633
23389,1991,MAD,1004.58,11942819
23390,1992,MAD,1009.37,12301336
23391,1993,MAD,1023.91,12675460
23392,1994,MAD,1013.68,13066543
23393,1995,MAD,1020.6,13475400
23394,1996,MAD,1028.94,13902688
23395,1997,MAD,1051.53,14347854
23396,1998,MAD,1070.36,14808791
23397,1999,MAD,1102.12,15282521
23398,2000,MAD,1144.58,15766806
23399,2001,MAD,1203.4,16260932
23400,2002,MAD,1034.92,16765117
23401,2003,MAD,1124.37,17279141
23402,2004,MAD,1180.24,17802997
23403,2005,MAD,1237.2,18336724
23404,2006,MAD,1300.7,18880268
23405,2007,MAD,1378.26,19433523
23406,2008,MAD,1463.09,19996469
23407,2009,MAD,1375.64,20569121
23408,2010,MAD,1357.65,21151640
23409,2011,MAD,1367.54,21743949
23410,2012,MAD,1396.2,22346573
23411,2013,MAD,1411.92,22961146
23412,2014,MAD,1445.34,23589801
23413,2015,MAD,1466.5,24234088
23414,2016,MAD,1506.24,24894551
23415,2017,MAD,1555.04,25570895
23416,1990,MAF,,30036
23417,1991,MAF,,31821
23418,1992,MAF,,32892
23419,1993,MAF,,33238
23420,1994,MAF,,33098
23421,1995,MAF,,32712
23422,1996,MAF,,32102
23423,1997,MAF,,31304
23424,1998,MAF,,30358
23425,1999,MAF,,29305
23426,2000,MAF,,28384
23427,2001,MAF,,27782
23428,2002,MAF,,27450
23429,2003,MAF,,27363
23430,2004,MAF,,27514
23431,2005,MAF,,27906
23432,2006,MAF,,28414
23433,2007,MAF,,28905
23434,2008,MAF,,29376
23435,2009,MAF,,29820
23436,2010,MAF,,30235
23437,2011,MAF,,30615
23438,2012,MAF,,30959
23439,2013,MAF,,31264
23440,2014,MAF,,31530
23441,2015,MAF,,31754
23442,2016,MAF,,31949
23443,2017,MAF,,32125
23444,1990,MAL,6819.89,18038321
23445,1991,MAL,7514.93,18529454
23446,1992,MAL,8156.44,19012724
23447,1993,MAL,8949.78,19494967
23448,1994,MAL,9736.56,19986894
23449,1995,MAL,10645.65,20495597
23450,1996,MAL,11624.97,21023321
23451,1997,MAL,12370.83,21565325
23452,1998,MAL,11297.63,22113464
23453,1999,MAL,11882.84,22656286
23454,2000,MAL,12927.84,23185608
23455,2001,MAL,13003.04,23698907
23456,2002,MAL,13626.96,24198811
23457,2003,MAL,14411.46,24688703
23458,2004,MAL,15507.32,25174109
23459,2005,MAL,16540.9,25659393
23460,2006,MAL,17667.87,26143566
23461,2007,MAL,18931.32,26625845
23462,2008,MAL,19873.17,27111069
23463,2009,MAL,19367.89,27605383
23464,2010,MAL,20680.3,28112289
23465,2011,MAL,21818.88,28635128
23466,2012,MAL,23006.93,29170456
23467,2013,MAL,24033.97,29706724
23468,2014,MAL,25487.61,30228017
23469,2015,MAL,26623.33,30723155
23470,2016,MAL,27682.61,31187265
23471,2017,MAL,29431.47,31624264
23472,1990,MAR,2528.46,24879136
23473,1991,MAR,2750.21,25336862
23474,1992,MAR,2705,25791494
23475,1993,MAR,2701.77,26237417
23476,1994,MAR,3001.81,26667048
23477,1995,MAR,2854.59,27075232
23478,1996,MAR,3219.94,27460603
23479,1997,MAR,3181.02,27825901
23480,1998,MAR,3404.73,28175263
23481,1999,MAR,3451.41,28514798
23482,2000,MAR,3553.99,28849621
23483,2001,MAR,3854.18,29181832
23484,2002,MAR,3987.27,29512368
23485,2003,MAR,4257.96,29843937
23486,2004,MAR,4530.82,30179285
23487,2005,MAR,4773.98,30521070
23488,2006,MAR,5232.01,30869346
23489,2007,MAR,5496.64,31225881
23490,2008,MAR,5866.56,31596855
23491,2009,MAR,6086.34,31989897
23492,2010,MAR,6312.92,32409639
23493,2011,MAR,6688.4,32858823
23494,2012,MAR,6916.44,33333789
23495,2013,MAR,7239.87,33824769
23496,2014,MAR,7442.42,34318082
23497,2015,MAR,7770.25,34803322
23498,2016,MAR,7857.49,35276786
23499,2017,MAR,8217.46,35739580
23500,1990,MAW,481,9437553
23501,1991,MAW,528.99,9641153
23502,1992,MAW,496.81,9729717
23503,1993,MAW,556.43,9755857
23504,1994,MAW,507.94,9796976
23505,1995,MAW,598.43,9909088
23506,1996,MAW,640.95,10109789
23507,1997,MAW,658.91,10381862
23508,1998,MAW,671.14,10704744
23509,1999,MAW,680.55,11044356
23510,2000,MAW,686.38,11376172
23511,2001,MAW,648.86,11695863
23512,2002,MAW,652.3,12013711
23513,2003,MAW,684.85,12336687
23514,2004,MAW,721.97,12676038
23515,2005,MAW,748.1,13039711
23516,2006,MAW,783.9,13429262
23517,2007,MAW,855.79,13840969
23518,2008,MAW,910.92,14271234
23519,2009,MAW,964.31,14714602
23520,2010,MAW,1012.07,15167095
23521,2011,MAW,1051.19,15627618
23522,2012,MAW,1058.91,16097305
23523,2013,MAW,1099.2,16577147
23524,2014,MAW,1148.64,17068838
23525,2015,MAW,1159.32,17573607
23526,2016,MAW,1168.83,18091575
23527,2017,MAW,1202.2,18622104
23528,1990,MDA,,3696000
23529,1991,MDA,,3704000
23530,1992,MDA,,3706000
23531,1993,MDA,,3701000
23532,1994,MDA,,3691000
23533,1995,MDA,1899.62,3675099
23534,1996,MDA,1824.27,3667748
23535,1997,MDA,1893.04,3654208
23536,1998,MDA,1789.12,3652732
23537,1999,MDA,1758.07,3647001
23538,2000,MDA,1839.71,3639592
23539,2001,MDA,2000.89,3631462
23540,2002,MDA,2195.15,3623062
23541,2003,MDA,2393.42,3612874
23542,2004,MDA,2647.76,3603945
23543,2005,MDA,2945.08,3595187
23544,2006,MDA,3190.12,3585209
23545,2007,MDA,3381.1,3576910
23546,2008,MDA,3723.4,3570108
23547,2009,MDA,3531.03,3565604
23548,2010,MDA,3831.75,3562045
23549,2011,MDA,4179.21,3559986
23550,2012,MDA,4226.96,3559519
23551,2013,MDA,4700.23,3558566
23552,2014,MDA,5017.31,3556397
23553,2015,MDA,5054.68,3554108
23554,2016,MDA,5352.78,3551954
23555,2017,MDA,5697.83,3549750
23556,1990,MDV,,223215
23557,1991,MDV,,229754
23558,1992,MDV,,236190
23559,1993,MDV,,242459
23560,1994,MDV,,248433
23561,1995,MDV,5671.6,254082
23562,1996,MDV,6103.01,259327
23563,1997,MDV,6602.78,264275
23564,1998,MDV,7043.24,269206
23565,1999,MDV,7446.65,274484
23566,2000,MDV,7742.58,280384
23567,2001,MDV,7430.67,287027
23568,2002,MDV,7892.02,294341
23569,2003,MDV,8917.81,302209
23570,2004,MDV,9458.81,310423
23571,2005,MDV,8257.55,318836
23572,2006,MDV,10453.82,327371
23573,2007,MDV,11260.66,336070
23574,2008,MDV,12243.32,345054
23575,2009,MDV,11139.55,354501
23576,2010,MDV,11762.65,364511
23577,2011,MDV,12664.99,375131
23578,2012,MDV,12843.9,386203
23579,2013,MDV,13607.2,397397
23580,2014,MDV,14471.55,408247
23581,2015,MDV,14593.97,418403
23582,2016,MDV,15348,427756
23583,2017,MDV,16669.4,436330
23584,1990,MEX,6037,85357874
23585,1991,MEX,6373.38,87071512
23586,1992,MEX,6621.6,88828310
23587,1993,MEX,8415.47,90600453
23588,1994,MEX,8892.47,92349147
23589,1995,MEX,8390.34,94045579
23590,1996,MEX,8677.72,95687452
23591,1997,MEX,9357.26,97281739
23592,1998,MEX,9797.42,98821456
23593,1999,MEX,10155.49,100300579
23594,2000,MEX,10799.06,101719673
23595,2001,MEX,10878.9,103067068
23596,2002,MEX,10901.15,104355608
23597,2003,MEX,10954.53,105640453
23598,2004,MEX,11506.78,106995583
23599,2005,MEX,12369.76,108472228
23600,2006,MEX,13437.48,110092378
23601,2007,MEX,13999.97,111836346
23602,2008,MEX,14551.05,113661809
23603,2009,MEX,14172.49,115505228
23604,2010,MEX,14858.54,117318941
23605,2011,MEX,16049.36,119090017
23606,2012,MEX,16658.08,120828307
23607,2013,MEX,16848.04,122535969
23608,2014,MEX,17481.92,124221600
23609,2015,MEX,17239.32,125890949
23610,2016,MEX,17769.66,127540423
23611,2017,MEX,18258.1,129163276
23612,1990,MGL,3310.86,2184145
23613,1991,MGL,3076.09,2217918
23614,1992,MGL,2822.42,2243502
23615,1993,MGL,2773.66,2263200
23616,1994,MGL,2871.2,2280496
23617,1995,MGL,3094.18,2298039
23618,1996,MGL,3195.33,2316567
23619,1997,MGL,3349.01,2335695
23620,1998,MGL,3468.87,2355590
23621,1999,MGL,3598.67,2376162
23622,2000,MGL,3689.7,2397436
23623,2001,MGL,3849.35,2419776
23624,2002,MGL,4053.42,2443659
23625,2003,MGL,4377.92,2469286
23626,2004,MGL,4921.37,2496832
23627,2005,MGL,5384.32,2526446
23628,2006,MGL,5950.25,2558012
23629,2007,MGL,6647.15,2591670
23630,2008,MGL,7278.38,2628131
23631,2009,MGL,7131.64,2668289
23632,2010,MGL,7552.67,2712650
23633,2011,MGL,8881.48,2761516
23634,2012,MGL,9969.14,2814226
23635,2013,MGL,11093.85,2869107
23636,2014,MGL,11955.13,2923896
23637,2015,MGL,12152.17,2976877
23638,2016,MGL,12252.28,3027398
23639,2017,MGL,12999.53,3075647
23640,1990,MHL,1879.46,47298
23641,1991,MHL,1896.53,48475
23642,1992,MHL,2040.27,49378
23643,1993,MHL,2184.63,50048
23644,1994,MHL,2337.65,50575
23645,1995,MHL,2560.13,51015
23646,1996,MHL,2320.72,51401
23647,1997,MHL,2195.86,51692
23648,1998,MHL,2146.88,51925
23649,1999,MHL,2121.2,52079
23650,2000,MHL,2293.74,52159
23651,2001,MHL,2470.7,52183
23652,2002,MHL,2575.48,52158
23653,2003,MHL,2633.43,52116
23654,2004,MHL,2711.23,52074
23655,2005,MHL,2881.11,52055
23656,2006,MHL,3010.96,52078
23657,2007,MHL,3200.39,52137
23658,2008,MHL,3204.51,52218
23659,2009,MHL,3169.83,52320
23660,2010,MHL,3408.78,52425
23661,2011,MHL,3513.29,52542
23662,2012,MHL,3693.23,52663
23663,2013,MHL,3850.7,52793
23664,2014,MHL,3882.42,52898
23665,2015,MHL,3903.13,52994
23666,2016,MHL,4022.98,53066
23667,2017,MHL,4192.93,53127
23668,1990,MKD,5256.84,1996228
23669,1991,MKD,5104.12,1993302
23670,1992,MKD,4889.12,1988659
23671,1993,MKD,4642.39,1984028
23672,1994,MKD,4663.29,1981703
23673,1995,MKD,4703.81,1983252
23674,1996,MKD,4831.36,1989443
23675,1997,MKD,4959.49,1999599
23676,1998,MKD,5163.58,2012057
23677,1999,MKD,5422.79,2024394
23678,2000,MKD,6126.1,2034819
23679,2001,MKD,6033.87,2042842
23680,2002,MKD,6305.39,2048928
23681,2003,MKD,6502.2,2053426
23682,2004,MKD,7082.63,2057047
23683,2005,MKD,7759.73,2060272
23684,2006,MKD,8585.9,2063145
23685,2007,MKD,9241.27,2065458
23686,2008,MKD,10417.67,2067378
23687,2009,MKD,10912.24,2069093
23688,2010,MKD,11284.81,2070739
23689,2011,MKD,11611.85,2072383
23690,2012,MKD,11841.01,2074036
23691,2013,MKD,12655.54,2075739
23692,2014,MKD,13370.02,2077495
23693,2015,MKD,13766.32,2079308
23694,2016,MKD,14731.36,2081206
23695,2017,MKD,15231.33,2083160
23696,1990,MLI,822,8465188
23697,1991,MLI,928.57,8652514
23698,1992,MLI,896.81,8868263
23699,1993,MLI,922.6,9105472
23700,1994,MLI,951.93,9353385
23701,1995,MLI,955.09,9604450
23702,1996,MLI,1014.49,9856810
23703,1997,MLI,1054.17,10114094
23704,1998,MLI,1116.84,10380835
23705,1999,MLI,1166.78,10663723
23706,2000,MLI,1159.55,10967690
23707,2001,MLI,1328.89,11293258
23708,2002,MLI,1349.88,11638929
23709,2003,MLI,1456.52,12005128
23710,2004,MLI,1472.48,12391906
23711,2005,MLI,1567.71,12798763
23712,2006,MLI,1636.45,13227064
23713,2007,MLI,1681.66,13675606
23714,2008,MLI,1737.71,14138216
23715,2009,MLI,1774.07,14606597
23716,2010,MLI,1834.12,15075085
23717,2011,MLI,1874.7,15540989
23718,2012,MLI,1838.19,16006670
23719,2013,MLI,1856.27,16477818
23720,2014,MLI,1964.84,16962846
23721,2015,MLI,2043.72,17467905
23722,2016,MLI,2125.72,17994837
23723,2017,MLI,2211.42,18541980
23724,1990,MLT,9343.35,354170
23725,1991,MLT,9985.59,363845
23726,1992,MLT,10582.57,367618
23727,1993,MLT,11207.33,371308
23728,1994,MLT,11980.08,374797
23729,1995,MLT,12915.28,377419
23730,1996,MLT,13672.05,379905
23731,1997,MLT,15123.27,382791
23732,1998,MLT,15855.69,385287
23733,1999,MLT,16962.27,387578
23734,2000,MLT,19422.71,390087
23735,2001,MLT,19637.61,393028
23736,2002,MLT,20561.68,395969
23737,2003,MLT,20936.15,398582
23738,2004,MLT,21408.69,401268
23739,2005,MLT,22232.58,403834
23740,2006,MLT,23226.96,405308
23741,2007,MLT,24889.06,406724
23742,2008,MLT,26193.07,409379
23743,2009,MLT,26134.92,412477
23744,2010,MLT,27836.06,414508
23745,2011,MLT,28618.5,416268
23746,2012,MLT,29436.16,420028
23747,2013,MLT,31063.86,425967
23748,2014,MLT,33229.48,434558
23749,2015,MLT,35787.88,445053
23750,2016,MLT,37363.33,455356
23751,2017,MLT,39534.92,465292
23752,1990,MNE,,606372
23753,1991,MNE,,607105
23754,1992,MNE,,608516
23755,1993,MNE,,610170
23756,1994,MNE,,611389
23757,1995,MNE,,611712
23758,1996,MNE,,611003
23759,1997,MNE,,609520
23760,1998,MNE,,607662
23761,1999,MNE,,606001
23762,2000,MNE,6001.71,604950
23763,2001,MNE,6778.76,607389
23764,2002,MNE,7100.28,609828
23765,2003,MNE,7332.23,612267
23766,2004,MNE,7837.92,613353
23767,2005,MNE,8313.69,614261
23768,2006,MNE,10449.26,615025
23769,2007,MNE,12445.21,615875
23770,2008,MNE,13816.55,616969
23771,2009,MNE,13022.47,618294
23772,2010,MNE,13648.23,619428
23773,2011,MNE,14472.47,620079
23774,2012,MNE,13863.85,620601
23775,2013,MNE,14870.15,621207
23776,2014,MNE,15371.14,621810
23777,2015,MNE,16272.2,622159
23778,2016,MNE,17633.15,622303
23779,2017,MNE,18765.11,622471
23780,1990,MNP,,42538
23781,1991,MNP,,45249
23782,1992,MNP,,47919
23783,1993,MNP,,50602
23784,1994,MNP,,53380
23785,1995,MNP,,56278
23786,1996,MNP,,59364
23787,1997,MNP,,62528
23788,1998,MNP,,65474
23789,1999,MNP,,67755
23790,2000,MNP,,69094
23791,2001,MNP,,69388
23792,2002,MNP,,68763
23793,2003,MNP,,67422
23794,2004,MNP,,65663
23795,2005,MNP,,63744
23796,2006,MNP,,61688
23797,2007,MNP,,59513
23798,2008,MNP,,57431
23799,2009,MNP,,55674
23800,2010,MNP,,54424
23801,2011,MNP,,53786
23802,2012,MNP,,53718
23803,2013,MNP,,54036
23804,2014,MNP,,54468
23805,2015,MNP,,54816
23806,2016,MNP,,55023
23807,2017,MNP,,55144
23808,1990,MON,,29439
23809,1991,MON,,29624
23810,1992,MON,,29863
23811,1993,MON,,30138
23812,1994,MON,,30427
23813,1995,MON,,30691
23814,1996,MON,,30967
23815,1997,MON,,31251
23816,1998,MON,,31523
23817,1999,MON,,31800
23818,2000,MON,,32082
23819,2001,MON,,32360
23820,2002,MON,,32629
23821,2003,MON,,32933
23822,2004,MON,,33314
23823,2005,MON,,33793
23824,2006,MON,,34408
23825,2007,MON,,35111
23826,2008,MON,,35853
23827,2009,MON,,36534
23828,2010,MON,,37094
23829,2011,MON,,37497
23830,2012,MON,,37783
23831,2013,MON,,37971
23832,2014,MON,,38132
23833,2015,MON,,38307
23834,2016,MON,,38499
23835,2017,MON,,38695
23836,1990,MOZ,244.66,13247649
23837,1991,MOZ,258.47,13591970
23838,1992,MOZ,242,14071231
23839,1993,MOZ,259.06,14636995
23840,1994,MOZ,270.17,15217044
23841,1995,MOZ,272.27,15759132
23842,1996,MOZ,341.08,16248232
23843,1997,MOZ,374.1,16701351
23844,1998,MOZ,412.26,17136780
23845,1999,MOZ,439.81,17584869
23846,2000,MOZ,445.15,18067687
23847,2001,MOZ,498.83,18588758
23848,2002,MOZ,535.16,19139658
23849,2003,MOZ,564.31,19716598
23850,2004,MOZ,606.77,20312705
23851,2005,MOZ,661.05,20923070
23852,2006,MOZ,726.79,21547463
23853,2007,MOZ,778.39,22188387
23854,2008,MOZ,823.79,22846758
23855,2009,MOZ,857.35,23524063
